IndCode,Indicator (EN),Indicateur (FR)
Population,Population (thousands),Population (en milliers)
PPPGDP,Nominal gross domestic product in purchasing-power-parity dollars (millions),Produit intérieur brut nominal en dollars US en parité de pouvoir d'achat
NGDPD,Gross domestic product in U.S. dollars (millions),Produit intérieur brut en dollars américains
RealGDPGrowth,Real GDP growth (%),Croissance réelle du PIB (%)
Inflation,Inflation (average consumer prices),"Inflation, prix moyens à la consommation"
GINI,Gini coefficient (World Bank estimate),Coefficient de Gini (estimations de la Banque Mondiale)
PovHC300,% of population in extreme poverty ($3.00 a day),% de la population en extrême pauvreté ($3.00 par jour)
HDI,Human development index (HDI),Indice de développement humain (IDH)
IHDI,Inequality-adjusted HDI (IHDI),IDH ajusté aux inégalités (IDHI)
EmpPopTot,Total workers aged 15+,Nombre total de travailleurs âgés de 15 ans et plus
Pop15PLTot,Total population aged 15+ (ILOSTAT),Population totale âgée de 15 ans et plus (ILOSTAT)
InformRateAll,Percentage of informal employment in total employment,Pourcentage de l'emploi informel dans l'emploi total
OwnAccount,Total workers aged 15+ classified as own-account workers,Total des travailleurs âgés de 15 ans et plus classés comme travailleurs à leur propre compte
ContribFamily,Total workers aged 15+ classified as contributing family workers,Total des travailleurs âgés de 15 ans et plus classés comme travailleurs familiaux contributeurs
EmpRateTot,Employment as a % of population 15+,Emploi en % de la population âgée de 15 ans et plus
OwnAccountRate,Percentage of workers aged 15+ classified as own-account workers,Pourcentage de travailleurs âgés de 15 ans et plus classés comme travailleurs à leur propre compte
ContribFamRate,Percentage of workers aged 15+ classified as contributing family workers,Pourcentage de travailleurs âgés de 15 ans et plus classés comme travailleurs familiaux contributeurs
VulnRate,Percentage of workers aged 15+ in vulnerable employment,Pourcentage de travailleurs âgés de 15 ans et plus ayant un emploi vulnérable
RlGDPPrCpGr,Real GDP Growth Per Capita (%),Croissance réelle du PIB par habitant (%)
PopGrwth,Population growth (%),Croissance de la population (%)
PopUrban,Urban Population (thousands),Population urbaine (milliers)
PopRural,Rural Population (thousands),Population rurale (milliers)
IntermCitPop,"Population living in urban agglomerations of 300,000 to 1 million inhabitants (thousands)","Population vivant dans des agglomérations urbaines de 300,000 à un million d'habitants (milliers)"
IntermCitNum,"Number of urban agglomerations of 300,000 to 1 million inhabitants",Nombre d'agglomérations urbaines de 300 000 à un million d'habitants
PrimCitPop,Population living in urban agglomerations of over 1 million inhabitants (thousands),Population vivant dans des agglomérations urbaines de plus d'un million d'habitants (milliers)
PrimCitNum,Number of urban agglomerations of over 1 million inhabitants,Nombre d'agglomérations urbaines de plus d'un million d'habitants
OldDepRatio,Old-age dependency ratio [Population aged 65+]/[Population aged 15-64]*100,Taux de dépendance des personnes âgées [Population âgée de 65 ans et plus]/[Population âgée de 15 à 64 ans]*100
ChildDepRatio,Child dependency ratio [Population aged <15]/[Population aged 15-64]*100,Taux de dépendance des enfants à charge [Population âgée de <15 ans]/[Population âgée de 15 à 64 ans]*100
TotDepRatio,Total dependency ratio (Child dependency ratio + Old-age dependency ratio),Taux de dépendance total (taux de dépendance des enfants à charge + taux de dépendance des personnes âgées)
LitRt15T24,"Youth literacy rate, population 15-24 years, both sexes (%)","Taux d'alphabétisation des jeunes de 15 à 24 ans, les deux sexes (%)"
LitRt15T24F,"Youth literacy rate, population 15-24 years, female (%)","Taux d'alphabétisation des jeunes de 15 à 24 ans, de sexe féminin (%)"
LitRt15T24M,"Youth literacy rate, population 15-24 years, male (%)","Taux d'alphabétisation des jeunes de 15 à 24 ans, de sexe masculin (%)"
LitRt15T24GPIA,"Youth literacy rate, population 15-24 years, adjusted gender parity index (GPIA)","Taux d'alphabétisation des jeunes de 15 à 24 ans, indice ajusté de parité entre les sexes (IPSA)"
LitRt15T99,"Adult literacy rate, population 15+ years, both sexes (%)","Taux d'alphabétisation de la population âgée de 15 ans et plus, les deux sexes (%)"
LitRt15T99F,"Adult literacy rate, population 15+ years, female (%)","Taux d'alphabétisation de la population âgée de 15 ans et plus, de sexe féminin (%)"
LitRt15T99M,"Adult literacy rate, population 15+ years, male (%)","Taux d'alphabétisation de la population âgée de 15 ans et plus, de sexe masculin (%)"
LitRt15T99GPIA,"Adult literacy rate, population 15+ years, adjusted gender parity index (GPIA)","Taux d'alphabétisation de la population âgée de 15 ans et plus, indice ajusté de parité hommes-femmes (IPSA)"
Pop15PLFem,Total female population aged 15+ (ILOSTAT),Population féminine totale âgée de 15 ans et plus (ILOSTAT)
Pop15PLMal,Total male population aged 15+ (ILOSTAT),Population masculine totale âgée de 15 ans et plus (ILOSTAT)
EmpPopFemale,Total female workers aged 15+,Nombre total de travailleuses âgées de 15 ans et plus
EmpPopMale,Total male workers aged 15+,Nombre total de travailleurs âgés de 15 ans et plus
InformRateFem,"Percentage of informal employment in total employment, females","Pourcentage de l'emploi informel dans l'emploi total, femmes"
InformRateMal,"Percentage of informal employment in total employment, males","Pourcentage de l'emploi informel dans l'emploi total, hommes"
Employees,Total workers aged 15+ classified as employees,Total des travailleurs âgés de 15 ans et plus classés comme salariés
Employers,Total workers aged 15+ classified as employers,Total des travailleurs âgés de 15 ans et plus classés comme employeurs
EmpLMSEMP,Total people aged 25-54 who are employed,Nombre total de personnes âgées de 25 à 54 ans employées
EmpLMSUNE,Total people aged 25-54 who are unemployed,Nombre total de personnes âgées de 25 à 54 ans au chômage
EmpLMSEIP,Total people aged 25-54 who are outside the labour force,Nombre total de personnes âgées de 25 à 54 ans hors de la population active
EmpLMSTOT,Total people aged 25-54,Nombre total de personnes âgées de 25 à 54 ans
EmpRateFemale,"Employment as a % of population 15+, females","Emploi en % de la population âgée de 15 ans et plus, de sexe féminin"
EmpRateMale,"Employment as a % of population 15+, males","Emploi en % de la population âgée de 15 ans et plus, de sexe masculin"
EmployeesRate,Percentage of workers aged 15+ classified as employees,Pourcentage de travailleurs âgés de 15 ans et plus classés comme salariés
EmployersRate,Percentage of workers aged 15+ classified as employers,Pourcentage de travailleurs âgés de 15 ans et plus classés comme employeurs
EmpLMSEMPPct,Percentage of people aged 25-54 who are employed,Pourcentage de personnes âgées de 25 à 54 ans qui ont un emploi
EmpLMSUNEPct,Percentage of people aged 25-54 who are unemployed,Pourcentage de personnes âgées de 25 à 54 ans au chômage
EmpLMSEIPPct,Percentage of people aged 25-54 who are outside the labour force,Pourcentage de personnes âgées de 25 à 54 ans inactives
CoaRent,Coal rents (% of GDP),Bénéfices tirés du charbon (% du PIB)
ForRent,Forest rents (% of GDP),Bénéfices tirés des forêts (% du PIB)
NGSRent,Natural gas rents (% of GDP),Bénéfices tirés du gaz (% du PIB)
OilRent,Oil rents (% of GDP),Bénéfices tirés du pétrole (% du PIB)
MinRent,Mineral rents (% of GDP),Bénéfices tirés des minéraux (% du PIB)
TotNRRent,Total natural resources rents (% of GDP),Total des bénéfices tirés des ressources naturelles (% du PIB)
